Date,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
01/23/2001,21:35,Eider Point Alaska,MajestiAir Cargo,,Douglas C-47A-30-DK (DC-3C),2,2,The cargo plane crashed on Table Top Mountain while en route. The airplane flightcrew's failure to maintain adequate distance/altitude from mountainous terrain during a departure climb to cruise flight and the captain's impairment from drugs. Factors in the accident were dark night conditions and the first officer's impairment from drugs.
01/25/2001,18:15,Ciudad Bolivar Venezuela,Rutaca Airlines,Canaina - Ciudad Bolivar - Por La Mar,Douglas DC-3C (C47A-DL),24,24,The plane caught fire shortly after taking off from Ciudad Bolivar where it had made a refueling stop. The pilot was unable to tell the tower what was wrong before rolling inverted and crashing into a neighborhood south of the city.
01/27/2001,17:37,Byers Colorado,North Bay Charter,Broomfield CO - Stillwater OK,Beech King Air 200 Catpass,10,10,
01/31/2001,16:50,El Yopal Colombia,Lineas Aereas Suramericanas,El Yopal - Mitu,Sud Aviation SE-210 Caravelle 10R,6,3,While attempting to land at Mitú the cargo plane's landing gear struck the ground short of the threshold. A go- around was executed but the No. 1 engine was shut down because of low oil pressure. The plane flew over the control tower twice to determine the state of the landing gear. It appeared that part of the left main landing gear was missing. The crew then positioned the plane for an approach and landing. As the plane turned into long final it struck the ground crashed in a meadow and caught fire.
02/08/2001,19:20,Beaver Island Minnesota,Northern Illinois Flight Center,Chicago - Beaver Island,Swearingen SA.227AT Merlin IVC,6,2,Impacted trees and crashed while attempting to land. The flightcrew not maintaining altitude/clearance during the circling instrument approach. Factors were the pilot in command initiating the flight without proper weather reporting facilities at the destination the flightcrew not flying to an alternate destination the flightcrew not following company and FAA procedures/directives the lack of certification of the second pilot the operator not following company and FAA procedures/directives and the dark night and the low ceiling.
02/08/2001,15:40,Nurnberg Germany,E.A.S. Aeroservizi,Nurnberg - Rome Italy,Learjet 35A,3,3,The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft. stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crew  so that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded.
02/10/2001,,Jakobkondre Suriname,Gum Air Charter,Paramaribo - Jakobkondre,GAF Nomad N24A,10,10,After losing radio contact with the airport the aircraft was observed flying low before crashed into a mountainside 2 nm from Jakobkondre.
02/27/2001,17:30,Near Granton Harbour Scotland,Loganair,Edinburgh - Belfast,Shorts 360-100,2,2,Double engine failure on take off cause the cargo plane to ditch in Firth of the Fourth estuary. Icing.
03/02/2001,,Rio Azul Farm Brazil,Air taxi - Cuiaba Air Taxi,,Beech BE-55,6,6,Just after rising the plane stalled while making a turn and crashed and burned.
03/03/2001,14:48,Bangkok Thailand,Thai Airways,Bangkok - Chiang Mai.,Boeing B-737-4D7,5,1,The aircraft exploded and caught fire 35 minutes before its scheduled takeoff. Five members of the cabin crew were the only people aboard the plane at the time. Witnesses said they heard an explosion before flames erupted aboard the aircraft. NTSB investigators reported that the center fuel tank exploded followed by the right tank 18 minutes later. The cause for the explosion was unclear. The center fuel tank is located near air conditioning packs which generate heat and were running nonstop prior to the explosion.
03/03/2001,09:55,Unadilla Georgia,Military - Florida Army National Guard,Fort Walton Beach Fl - Oceana Naval Air Station VA,Short 360,21,21,The plane was on a flight from Florida to Oceana Naval Air Station in Virginia when witnesses observed the plane gliding down and losing altitude until it impacted the ground exploding into flames. Heavy rain and wind were present in the area at the time of the accident. Weight imbalances in the aircraft were the primary cause of the accident as the cargo shifted when the pilot  got up and walked through the plane toward the rear of the plane unbalancing the aircraft just as it hit severe turbulence. This led to the loss of control and break-up of the aircraft.
03/15/2001,,Medina Saudi Arabia,Vnukovo Airlines,Istanbul Turky - Moscow Russia,Tupolev 154M,174,3,The plane was hijacked and flown to Medina Saudi Arabia. The plane was stormed and three people killed.
03/17/2001,10:00,Near Lubango Angola,Sociedade de Aviacao Ligeira Charter,Luanda - Lubango,Beechcraft 1900C,17,16,The aircraft crashed into a mountain at 6500 ft. while approaching Lubango to land. The weather at the time was cloudy with rain.
03/24/2001,16:30,Gustavia St. Barthélémy French West Indies,Air Caraibes,St. Maarten - St. Barthélémy,de Havilland Canada DHC-6 Twin Otter,19,19,The aircraft took off from Prinses Juliana Airport at St. Maarten for a 15 minute flight to St. Jean Airport at St. Barthélémy. While attempting to land at St. Barthélémy the plane veered sharply to the left and plunged straight down crashing into a house and bursting into flames. Weather was good at the time of the accident.
03/26/2001,18:25,Jadura Indonesia,Merpati Nusantara Airlines,Training,Fokker F-27 Friendship 500F,3,3,While approaching Juanda for the 8th touch-and-go landing the aircraft banked to the left crashed and caught fire.
03/29/2001,19:01,Near Aspen Colorado,Jetwingsco Inc. - Private Charter,Los Angeles - Aspen,Grummand Gulfstream III,18,18,The aircraft was on final approach to Sardy Field when it crashed short of the runway into a hill northwest of the airport killing all aboard. The jet crashed into a small hillside 500 yards short of the runway jumped over a culvert and crashed into another bluff exploding in flames. Wreckage was strewn over 100 yards. There was light snow and mist reported in the area at the time of the accident. The flight crew's operation of the airplane below the minimum descent altitude without an appropriate visual reference for the runway.  The crew was also under pressure to land before a landing curfew took effect.
04/02/2001,16:30,Ashbaubenon Wisconsin,Jet Wings,Green Bay - Ft. Myers Fl,Cessna 501 Citation I/SP,1,1,The positioning flight crashed into a building shortly after taking off. The pilot not maintaining aircraft control while maneuvering after takeoff and the pilot's inadequate preflight planning and preparation. Factors relating to the accident were the pilot's diverted attention while maneuvering after takeoff the pilot's attempted VFR flight into instrument meteorological conditions the pilot's visual lookout not being possible the low ceiling snow and fog the airplane's low altitude and the building.
04/04/2001,,Adar Yeil Sudan,Military - Sudan Air Force,Adar Yeil - Khartoum,Antonov AN-24,30,14,The aircraft crashed on takeoff during a sandstorm killing Sudan's deputy defense minister and 13 high-ranking military officers.
04/07/2001,15:30,Thanh Tranh Village Vietnam,SFC Vietnam - Charter - Full Account,Vinh - Dong Hoi - Hue,Mil Mi-18 Helicopter,16,16,The helicopter carrying members of Full Account a group searching for the remains of U.S. troops missing in action during the Vietnam War crashed into a mountainside in heavy fog.
04/28/2001,05:15,Near Roque Perez Argentina,Private - Techint  group,San Fernando - El Calafate,Cessna  208B Grand Caravan,10,10,The aircraft crashed into rugged farm land 120 miles south of Buenos Aires. Possible icing.  Agostino Rocca president of the Buenos Aires-based Techint  construction group and German Sopena managing editor of the Argentine newspaper La Nacion were among those killed.
05/16/2001,13:15,Malatya Turkey,Military - Turkish Air Force,Diyarbakir - Ankara,CASA CN-235M-10,34,34,The aircraft went into a steep dive from 17000 feet and crashed into a field. Hydraulifailure caused by ice.
05/17/2001,12:21,Mendoza Argentina,Fuerza Aérea Argentina,Mendoza - Parana,Fokker F-27 Friendship 400M,5,5,Shortly after taking off the plane veered to the right and crashed into a field. Engine failure.
05/17/2001,07:45,Near Sari Iran,Faraz Qeshm Airlines,Tehran - Gorgan,Yakovlev YAK-40,30,30,The aircraft crashed into mountains about 12 miles south of Sari 55 minutes after taking off from Tehran on a flight to Gorgan. Shortly before the tower lost contact with the plane the pilot reported bad weather and said he was thinking of returning to Tehran. Transport Minister of Iran Rahman Dadman 45 killed.
05/22/2001,16:35,Near Myakotino Russia,Military - Russian Air Force,Rzhevsk - Morsansk,Antonov 12MGA,7,7,Crashed while en route.
06/15/2001,14:30,Jayapura Indonesia,Manunggal Air,Jayapura - Wamena,Transall C-160NG,19,1,The aircraft returned to Sentani Airport after experiencing engine trouble skidded off the runway and struck a fence.
07/04/2001,02:08,Near Irkutsk Russia,Vladivostokavia,Yekaterinburg - Irkutsk - Vladivostok,Tupolev TU-154M,145,145,The plane crashed and exploded in flames in Siberian woodlands near the village of Burdakovka about 21 miles from Irkutsk. The aircraft crashed during the third turn in a landing approach to Irkutsk an intermediate stop for refueling. The first officer was flying the plane when at 2600 ft. an audible alarm sounded indicating a wide angle of attack. Eleven seconds later the aircraft swung around 180 degrees and entered a flat spin. The captain ordered the engines at full throttle but it was too late and 22 seconds later the plane hit the ground belly first broke up and burned. Incorrect actions of the crew. Due to poor communication between pilots they put in the wrong parameters while landing causing the plane to descend at the wrong angle. As a result the plane stalled and entered a spin and crashed.
07/05/2001,11:40,Off Chinhae South Korea,Private  - Daewoo Shipbuilding,Jinhae - Ockpo,Sikorsky S-76B helicopter,12,8,After several delays in taking off the helicopter crashed into the sea just off shore after striking a electritransmission tower. The accident took place in heavy monsoon rains poor visibility and high winds. The pilot stated he lost control of the helicopter when it was hit by a sudden gust of wind.
07/12/2001,12:05,Near Puerto Cabello Venezuela,Private - OverteCompany,Puerto Cabello - Caracas,Antonov AN-28 PZL-MieleM-28 Sky Truck,13,13,The aircraft crashed and burned moments after taking off from General Bartholomew Salóm Airport during a National Guard demonstration. The right engine appeared to have failed at a critical stage in the takeoff. There were 8 civilians and 5 military personnel board.
07/14/2001,08:53,Near Moscow Russia,Russ Air Transport Company,Moscow - Norilsk,Ilyushin IL-76,10,10,The cargo plane was taking off from Chkalovsky Airport with a load of construction material and cosmetics. After reaching a height of 150 feet the plane the crashed and burned 1600 feet past the end of the runway.  The plane was overloaded by 15 tones.
07/30/2001,16:00,Haines Alaska,Air Taxi,Shagway AK - Return,Piper PA-32-300,6,6,The sightseeing plane impacted the side of a mountain in poor visibility. The pilot's continued flight into known adverse weather conditions and his poor in-flight decision making. Factors associated with the accident were clouds and mountainous terrain. A finding is the pilot's use of FAA prohibited drugs.
08/05/2001,04:43,Reykjavík Iceland,Naske Air,Reykjavík Iceland - Narsarsua Greenland,Dassault Falcon 20C,3,3,The cargo plane crashed into a hill and broke up. Crew did not follow standard operating procedures. Crew fatigue.
08/10/2001,14:35,Near Meadview Arizona,Papillon Grand Canyon Helicopters of Las Vegas,Grand Canyon NP - Las Vegas,Aerospatiale AS350 Eurocopter  helicoper,7,6,The sightseeing helicopter crashed and burned about 3700 feet up the 5600-foot Grand Wash Cliffs just outside the boundaries of Grand Canyon National Park. The aircraft was returning to McCarran International Airport where it had originated. Besides the pilot all victims including the one survivor were members of the same family. The pilot's decision to maneuver the helicopter in a flight regime and in a high density altitude environment which significantly decreased the helicopter's performance capabilities resulting in a high rate of descent from which recovery was not possible. Factors contributing to the accident were high density altitude and the pilot's decision to maneuver the helicopter in proximity to precipitous terrain which effectively limited remedial options available.
08/23/2001,,Mugogo DemocratiRepubliCongo,Victoria Airlines,Kama - Kapmene,Antonov 28,11,4,After an engine failed the crew declared an emergency and elected to divert to Bukavu but crashed 10 km short of the airport.
08/24/2001,18:46,Terceira Azores,Canadian Air Transat,Toronto - Lisbon,Airbus A-330-243,304,0,The crew reported that they had a loss of fuel and were going to have to divert to Lajes. Shortly thereafter they said that they only had five minutes of fuel and probably would not reach Lajes. The Airbus 330 without engine power glided for almost 20 minutes descending from for more than 30000 ft. before landing safely at Lajes Airport. Several tires blew out causing a fire which was quickly extinguished by emergency crews.  Eleven passengers were slightly injured. The leak was caused by a damaged fuel feed pipe that was caused by interference from the aft hydraulipump. Mechanics did not completely follow a Rolls-Royce service bulletin. In addition software mistakenly identified the  fuel leak as a fuel imbalance prompting the crew to respond erroneously to the situation. The official report stated the cause was the pilots responded incorrectly to the fuel leak.  The pilots acted from memory rather than utilizing a checklist so they never saw a 'Caution' note in the Fuel Imbalance checklist that might have caused them to consider that the real problem was not an imbalance but a fuel leak.
08/24/2001,05:42,Ithaca New York,Ameristar Jet Charter,Ithaca NY - Jackson MI,Learjet 25,2,2,Shortly after taking off the cargo plane crashed into a wooded area about one-half mile from the runway. The pilot's failure to maintain a proper climb rate while taking off at night which was a result of spatial disorientation. Factors in the accident were the low visibility and cloud conditions and the dark night.
08/25/2001,18:45,Marsh Harbour Bahamas,Blackhawk Int. Airways  - Private charter,Abaco - Miami,Cessna 402B,9,9,The aircraft crashed in flames approximately 200 ft. past the end of the runway while attempting to take off. The plane was overloaded by several hundred pounds and the weight improperly distributed causing the pilot to lose control of the aircraft. R&B singer and actress Aaliyah Haughton 22 was among those killed. Traces of cocaine and alcohol were found during the autopsy of the pilot. The plane was overloaded.
08/29/2001,10:15,Near Malaga Spain,Binter Mediterráneo,Melilla - Málaga,CASA  CN-235-200,47,4,The aircraft crash-landed on a highway near Ruiz Picasso Airport in Málaga. While on final approach the pilot reported failure of the plane's left engine forcing the crew to make an emergency landing.  The plane crashed 1300 ft. short of the runway. The pilot later died of his injuries.
09/11/2001,10:03,Shanksville Pennsylvania,United Air Lines,Newark - San Francisco,Boeing B-757-222,44,44,The aircraft was hijacked after taking off from Newark International Airport. The hijackers took control of the aircraft and turned the plane towards Washington D.C.  A struggle ensued between the passengers and hijackers after which the plane crashed at a high rate of speed into a field in the Pennsylvania countryside. It was one of four planes that were hijacked the same day.
09/11/2001,09:45,Arlington Virginia.,American Airlines,Washington D.C. - Los Angeles,Boeing B-757-223,64,64,The aircraft was hijacked after taking off from Dulles International Airport. The hijackers took control of the aircraft and deliberately crashed it into the Pentagon. It was one of four planes that were hijacked the same day.
09/11/2001,08:47,New York City New York,American Airlines,Boston - Los Angeles,Boeing 767-223ER,92,92,The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the north tower of the World Trade Center between the 94th and 99th floors at approximately 450 mph.  After 102 minutes the building collapsed. It was one of four planes that were hijacked the same day.
09/11/2001,09:03,New York City New York,United Air Lines,Boston - Los Angeles,Boeing B-767-222,65,65,The aircraft was hijacked shortly after it left Logan International Airport in Boston. The hijackers took control of the aircraft and deliberately crashed it into the south tower of the World Trade Center between the 78th and 84th floors at approximately 550 mph. After 56 minutes the building collapsed. It was one of four planes that were hijacked the same day.
09/12/2001,16:25,Near Chichen Itza Mexico,Aero Ferinco Charter,Chichen Itza - Cozumel,LET 410UVP,19,19,The aircraft crashed 4.4 miles from Kura Airport shortly after a normal takeoff. The plane was flying at about 1500 feet when it began turning onto a course requested by the air trafficontroller. It did not stop turning and suddenly plunged to the ground.
09/15/2001,,Belo Horizonte Brazil,TAM (Brazil),Recife  - Sao Paulo,Fokker 100,82,1,While the aircraft was over Belo Horizonte the cabin depressurized causing the death of one passenger. The aircraft made an emergency landing at Cofins. Three of the other 77 passengers aboard suffered minor injuries. Pressurization was lost at an altitude of  33000 feet when the right engine disintegrated causing pieces of the engine to break two cabin windows.
09/18/2001,07:30,Guatemala City Guatemala,AtlantiAirlines,Guatemala City - San Pedro Sula Honduras,LET 410UVP-E,13,9,The aircraft was taking off from Guatemala's Aurora Airport when it lost power in one of it's engines and crashed to the ground.
10/03/2001,13:38,Decatur Island Washington,Aeronautical Services - Air Taxi,Decatur Island WAAnacortez WA,Cessna 172N,3,3,Witnesses to the accident reported that shortly after departing from the northbound turf runway the pilot initiated a 360-degree turn to the right (east). Shortly before completing the turn the aircraft banked sharply to the left pitched down and collided with trees in a nose-low attitude. The pilot's failure to maintain airspeed during a low altitude turn resulting in a stall. The pilot exceeding the aircraft's maximum gross takeoff weight was a factor.
10/04/2001,13:44,110 miles SW of Sochi Russia,Sibir Airlines,Tel Aviv -  Novosibirsk Russia,Tupolev Tu-154M,78,78,The aircraft exploded in mid-air at 36000 ft. while  en route over the Black Sea. The plane then nose-dived crashing into the water. The airliner was brought down accidentally by a Ukrainian surface-to-air missile fired during military exercises.
10/08/2001,08:10,Milan Italy,Scandinavian Airlines (SAS) / Private,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,114,114,The aircraft was taking off from Linate Airport in fog and poor visibility when it struck a German Cessna Citation II business jet. The MD-87 then swerved off the runway and  collided with the airport's baggage handling building bursting into flames. The Cessna  which was about to take off for Paris entered the active runway by mistake after  having been told by the tower to enter a different runway. One hundred four passengers and 6 crew on the MD-87 and  2 passengers and 2 crew on the Citation were killed along with 4 on the ground. The MD-87 was named Lage Viking.  Caused largely by human error and poorly followed safety procedures. Communication between the aircraft and the tower had been 'in English and Italian' as opposed to aviation standards that only English be spoken. In addition despite the poor visibility control tower operators failed to ask the Cessna to read back his instructions to make sure they were understood.
10/08/2001,17:50,Mollet Lake Quebec Canada,Air Saint Maurice Inc.,Iyachisakus Lake - Mollet Lake,de Havilland DHC-2 Mk 1 Beaver,7,3,The seaplane crashed into Mollet Lake while attempting to land. The seaplane stalled at an altitude that did not allow the pilot time to recover from the stall. The stall occurred in circumstances conducive to illusions created by drift.
10/10/2001,09:26,Dillingham Alaska,PenAir,Dillingham - King Salmon,Cessna 208 Caravan,10,10,Shortly after taking off from Dillingham the aircraft's wing dipped the nose pitched up the plane became inverted and crashed to the ground. The weather was clear and windy at the time of the accident. An in-flight loss of control resulting from upper surface ice contamination that the pilot-in-command failed to detect during his preflight inspection of the airplane. Contributing to the accident was the lack of a preflight inspection requirement for CE-208 pilots to examine at close range the upper surface of the wing for ice contamination when ground icing conditions exist.
10/10/2001,10:42,Off Valencia Spain,Flightline,Barcelona - Oran Algeria,Swearingen SA-226AT Merlin IV,10,10,The plane was en-route from Barcelona Spain to Oran Algeria 80 miles off the coast of Valencia Spain when it informed Valencia ATC it was going to change course in order to avoid bad weather. There was no further contact with the aircraft. Debris was sighted two days later on the water.
10/11/2001,23:35,Shamattawa Canada,Perimeter Airlines,Gods Narrows - Shamattawa,Swearingen SA.226TC Metro I,3,2,The air ambulance was flown into terrain during an overshoot because the required climb angle was not set and maintained to ensure a positive rate of climb. During the go-around conditions were present for somatograviillusion which most likely led to the captain losing situational awareness.
10/13/2001,18:00,Near Humiata Brazil,Air Taxi - Continental Air Taxi,Humiata - Altamira,EMB 810C Seneca,6,3,Thirty minutes into the flight both engines quit and the pilot had to make an emergency landing in the rainforest.
10/18/2001,15:43,Anchorage Alaska,ERA Aviation - Air Taxi,Fire Island AK - Anchorage AK,Bell 206L,5,3,The helicopter was flying very low because the pilot was not instrument rated. The skid hit the water followed by the tail rotor and the helicopter crashed. The pilot's failure to maintain clearance from the surface of an open body of water while intentionally attempting to maintain a very low altitude while in cruise flight. Factors include falling snow low ceilings whiteout/greyout conditions and flat/glassy water.
11/12/2001,09:16,Belle Harbor Queens New York,American Airlines,New York City - Santo Domingo Dominican Rep.,Airbus A-300-605R,260,260,Three minutes after taking off and while in a climbing left turn at 2800 ft. parts of the plane including the vertical stabilizer and rudder fell from the aircraft. The crew soon lost control of the plane which nose dived and crashed into a residential neighborhood. After flying into the wake turbulence of two aircraft about two minutes into the flight investigators believe a series of quick rudder swings by the copilot whipped the tail so severely that the fin broke off. The National Transportation Safety Board has found that pilot error was the probable cause. Sharply criticizing American Airlines Advanced Aircraft Maneuvering Program the Board said that American Airlines' pilot training included a simulator exercise which could have caused the first officer to have an unrealistiand exaggerated view of the effects of wake turbulence erroneously associate wake turbulence encounters with the need for aggressive roll upset recovery techniques and develop control strategies that would produce a much different -- and potentially surprising and confusing -- response if performed during flight. In addition because of its high sensitivity the Airbus A-300-600 rudder control system is susceptible to potentially hazardous rudder pedal inputs at higher airspeed.
11/19/2001,21:19,Kalyazin Russia,Charter - IRS Aero,Khatanga - Moscow,Ilyushin 18V,27,27,Residents heard a loud noise and saw flames in the night sky as the aircraft clipped treetops and summer homes before crashing into a snowy forest. Wreckage was spread over a 1.5 mile area. Serious maintenance violations and operational procedures were discovered during the investigation of the accident.
11/22/2001,13:05,Pittsburgh Pennsylvania,Universal Jet Aviation,Pittsburgh PA - Baca Raton Fl,Learjet 25B,2,2,The cargo plane was not able to gain altitude veered off the runway and crashed. The (undetermined) pilot-at-the-controls' early and over rotation of the airplane's nose during the takeoff attempt and his failure to maintain directional control. Also causal was the captain's inadequate remedial action both during the takeoff attempt and after the airplane departed the runway.
11/23/2001,18:35,Palade Estonia,ELK Aviation Co. (leased from Eminex),Tallinn - Kardla,Antonov AN-28,17,2,The plane crashed into a marshy forested area about 2 kilometer short of its destination at Kardla Airport. Several errors by the pilot.
11/24/2001,22:07,Birchwil Switzerland,Crossair,Berlin - Zurich,BAE Avro RJ100,33,24,The aircraft was flying through a mix of rain and snow on final approach when it crashed in a wooded area 5.5 miles from Zurich Airport where it was scheduled to land on Runway 28.  At 22.03 the aircraft was descending to 4000 ft. on final approach.  At 22.05 the captain reported reaching the minimum descent altitude and stated he could see the ground. Shortly after the radio altimeter reported 500 ft. agl followed by a 'minimum' warning. A go-around was ordered but it was too late and the aircraft struck trees and crashed. American pop singer Melanie Thornton 34 killed. Maria Serano Serano and Nathaly van het Ende both 27 and members of the pop-musitrio Passion Fruit also killed. The pilot had been working more than 13 hours when the accident took place and had also exceeded maximum duty several times in the days preceding the crash.
11/27/2001,01:56,Port Harcourt Nigeria,MK Airlines,Luxembourg - Port Harcourt,Boeing 747-246F,13,1,The cargo plane contacted the ground 700 meters short of the runway broke in two and burned.
11/28/2001,11:48,San Jerónimo de Moravia  Costa Rica,SANSA,San Jose - Quepos,Cessna 208B Grand Caravan,8,3,The plane crashed into Chontal Hill in the Tarrazú mountain range 5 minutes before it was scheduled arrival at Quepos. The aircraft was flying IFR in clouds when it crashed into trees and broke apart. The plane was off to the left of its intended flight path.
12/01/2001,12:54,Near Novaya Inya  Russia,Military - Russian cargo,Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,18,18,A fire broke out aboard the aircraft while en route at FL290. The crew was preparing for an emergency landing when two explosions tore apart the plane causing it to crash.
12/01/2001,01:43,Bessemer Alabama,Air Carriers,Little Rock - Bessemer,Cessna 208B Grand Caravan,2,2,The cargo plane crashed into high ground less than 5 miles from the airport while on an ILS approach. The poor in-flight planning by the pilot-in-command for his initiation of the ILS approach to runway 05 with weather conditions below minimums for the approach contrary to the Federal Aviation Regulations and the failure of the pilot to maintain control of the airplane during a missed approach resulting in the in-flight collision with trees then terrain.
12/10/2001,18:21,Sierra Blanca Texas,Air Cargo Express,Harlingen - El Paso,Learjet 24D,2,2,While enroute the cargo plane on a positioning flight entered an uncontroled descent and crashed. Loss of control during descent for undetermined reasons.
12/14/2001,,Geti DemocratiRepubliCongo,Eagle Air,Bunia - Beni,Let 410A,6,6,The plane may have been shot down by Allied DemocratiForces rebels.
12/16/2001,10:21,Near Medellin Colombia,Heliandes,Medellin - Quibdo,Let 410UVP-E,16,16,The aircraft crashed into El Silencio de El manzanillo mountain at 7800 ft. 3 minutes after taking off in heavy rain and poor visibility from Medellin Airport.
12/20/2001,22:08,Zurich Switzerland,Eagle Air,,Cessna 560 Citation V,2,2,After reaching a height of 500 ft. the aircraft began to loose altitude until the plane impacted the ground at the end of Runway 34. The crew lost spatial orientation after take-off leading to an unintentional loss of altitude. The copilot's basitraining in instrument flying did not include night instrument take-offs. The crew's method of working was adversely affected by great time pressure. Executing the take-off as a rolling take-off was not adapted to the prevailing meteorological conditions.
12/26/2001,10:20,Bremerhaven Germany,BAL Bremerhaven Airline,Bremerhaven - Wangerooge,Britten Norman BN-2B Trislander,9,8,The aircraft crashed into the Weser River shortly after taking off from Bremerhaven Airport. Three persons were pulled from the river two of whom died shortly thereafter as a result of their injuries.
01/01/2002,18:02,Hollywood Florida,Air Taxi - Air Taxi Inc.,,Piper PA-31-250,5,5,The pilot declared an emergency and ditched into AtlantiOcean 300 yards off Dania Beach in 15 feet of water. The pilot's inadequate planning for a Title 14 CFR Part 135 on-demand air taxi flight and his failure to refuel the airplane which resulted in fuel exhaustion while en route over the AtlantiOcean a power off glide and ditching in the ocean.
01/04/2002,12:07,Birmingham England,Agco Corp,Birmingham England - Bangor MA,Canadair CL-604,5,5,After taking off banked to the left wing contacted ground a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug jet-lag and fatigue were also considered factors.
01/09/2002,,Shamsi AFB Pakistan,Military - U.S. Air Force,Jacobabad - Shamsi,Lockheed Hercules KC-130R,7,7,While on approach the aircraft struck a hill a few hundred feet short of runway in poor weather.
01/14/2002,07:28,Bilbao Spain,Ibertrans Aérea,Madrid - Bilbao,Embraer EMB-120 Brasilia,3,3,While descending the cargo plane struck Mount Santa Maria Vieja 35 km from the airport in fog and poor visibility.
01/15/2002,08:45,Chilpancingo Mexico,Procuraduría General de la República,Mexico City - Chilpancingo,de Havilland DHC-6 Twin Otter 300,17,5,During a landing attempt at Chilpancingo the aircraft left the runway struck a concrete perimeter wall overturned and burned. The government plane belonged to the General Office of the judge advocate.
01/16/2002,16:29,Near Solo Indonesia,Garuda Indonesia Airlines,Ampenan - Yogyakarta - Jakarta,Boeing B-737-3Q8,62,1,The aircraft suffered a flame out of both engines in torrential rains while on approach  to Yogyakarta. The crew made an emergency landing in the Bengawan Solo River in shallow water. The plane circled several times before diving in a steep course towards the river. The plane's left wing struck a river bank before it plunged into the water. A flight attendant drowned in the shallow water when she jumped from the plane.
01/17/2002,11:00,Near La Bonita Ecuador,Petroproducción,Quito - Lago Agrio,Fairchild FH-227E,26,26,The plane crashed into del cerro El Tigre mountain in the jungles of the Amazon at an elevation of 14700 ft.  The 35 minute flight was transporting oil workers to a remote oil field.
01/19/2002,09:40,Near Milford Sound New Zealand,Air Fiordland,Te Anau  - Milford Sound,Cessna 207 Skywagon,6,6,The sightseeing plane hit a mountainside at  an elevation of 4500 ft.  200 ft. below the summit. The weather was clear at the time of the accident.
01/27/2002,,Near Luena Angola,Military - Angolan  Air Force,,Antonov AN-12,40,5,Crashed 2km short of the runway  from the Luena Airport while attempting to land in heavy rain.
01/28/2002,11:00,Near Ipiales Colombia,TAME,Quito -  Tulcán - Cali,Boeing B-727-134,92,92,The airliner crashed into the fogbound 15721 ft. Nevado de Cumbal volcano in the Andes mountains near the Ecuador / Colombian border. Air trafficontrol lost contact with the plane as it circled into Colombian territory to maneuver around snow capped mountain peaks and return to the Ecuadorian border city of Tulcán.
02/02/2002,17:15,Ellsworth AFB South Dakota,Military - U.S. Air Force,Training,Learjet C-21A,2,2,While practicing touch-and-goes the aircraft made  a sharp turn to the left which continued until the aircraft turned over and crashed.
02/12/2002,07:50,Near Khorramabed Iran,Iran Air Tours,Tehran - Khorramabed,Tupolev TU-154,117,117,Crashed against the side of a mountain in heavy fog in the Sefid Kouh mountain range while on approach to Khorramabad. The plane was totally destroyed and scattered in small pieces across the mountain. Pilot error.
02/15/2002,06:08,Monrovia Liberia,Tiramavia,,Antonov 12BP,10,1,The cargo plane crashed while attempting to make an emergency landing.
02/21/2002,20:44,Lakhta Russia,Military - Russian Navy,Sanofov - Lakhta,Antonov AN-26,20,17,The plane was making an emergency landing after two previous attempts in heavy snow and strong winds when it clipped treetops and crashed into a field approximately 1.5km short of the runway.
02/22/2002,02:30,Off Dumaguete Philippines,Military - U.S. Army,Basilan - Mactan Island,MH-47 Chinook helicopter,10,10,A helicopter ferrying U.S. troops in a counter-terrorism exercise crashed into the sea 30 minutes before its scheduled arrival at Mactan Island. The helicopter was flying in tandem with another U.S. Army Chinook when it crashed.
03/09/2002,13:40,Monte Rotondo Italy,Svedijos Prekés,Budapest Hungary - Tunis Tunisia,Antonov 2TP,3,3,While en route the cargo plane impacted the side of a mountain at an altitude of 6167 ft.  Pilot error. The crew did not conform to the VFR that required a track change to maintain the required flight parameters and/or a diversion to a suitable alternate airport.
03/14/2002,16:30,Near Placetas Cuba,Charter - Aerotaxi,Cienfuegos -- Cayo Coco,Antonov AN-2,17,17,While en-route 35 minutes into the flight the bi-plane crashed near Santa Clara. The plane was seen spinning out of control before it hit the ground. A strong gust of wind possibly a small tornado tore off the top part of the left wing.
